File Name,Pos.Z,Depth (cm),Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,Unnamed: 39
wb497_10_8_rec_voi_0085.bmp,1.69003,8.169003,103.0,65.19799,30.03796,46.07190,30.23853,220.19592,7.33059,0.29163,0.60936,-3.02999,70.0,33.0,6.11063,18.63994,16.90421,29.04941,35.16004,44.55567,53.92810,,,,,,,,,,,,176.03249,0.26289,0.27283,0.31935,1.68867,1.65804,10.22781,
wb497_10_8_rec_voi_0086.bmp,1.70991,8.170991,112.0,65.19799,30.02323,46.04932,30.23853,221.41900,7.37492,0.26806,0.58422,-1.59410,75.0,37.0,6.11745,9.84000,16.92677,29.05731,35.17476,44.56780,53.95068,,,,,,,,,,,,172.49128,0.19864,0.27119,0.31772,1.69805,1.66028,10.34611,
wb497_10_8_rec_voi_0087.bmp,1.72979,8.172979,101.0,65.19799,30.09711,46.16263,30.23853,220.03720,7.31091,0.29799,0.61597,-1.45287,66.0,35.0,6.52236,9.56164,17.81118,28.57853,35.10089,43.83345,53.83737,,,,,,,,,,,,158.12288,0.14423,0.27356,0.31905,1.68745,1.65032,10.44552,
wb497_10_8_rec_voi_0088.bmp,1.74968,8.174968,105.0,65.19799,30.32372,46.51021,30.23853,222.34125,7.33225,0.28880,0.60639,-2.25183,64.0,41.0,6.15486,13.96395,16.87253,28.71941,34.87427,44.04953,53.48979,,,,,,,,,,,,127.01407,0.14233,0.27277,0.31370,1.70512,1.66457,10.21957,
wb497_10_8_rec_voi_0089.bmp,1.76956,8.176956,109.0,65.19799,30.51447,46.80277,30.23853,223.97095,7.33983,0.27995,0.59703,-2.04887,65.0,44.0,6.27716,12.95018,17.06138,28.40637,34.68353,43.56939,53.19723,,,,,,,,,,,,109.78821,0.2044,0.27249,0.30971,1.71762,1.66806,10.21134,
wb497_10_8_rec_voi_0090.bmp,1.78944,8.178944,98.0,65.19799,30.67561,47.04993,30.23853,226.65438,7.38875,0.31302,0.63130,-2.20162,44.0,54.0,6.26757,13.89607,16.96544,28.25481,34.52238,43.33693,52.95007,,,,,,,,,,,,104.66424,0.25065,0.27068,0.30463,1.73820,1.67026,10.27922,
wb497_10_8_rec_voi_0091.bmp,1.80932,8.180932,88.0,65.19799,30.87515,47.35598,30.23853,226.60594,7.33943,0.35085,0.66837,-1.83039,54.0,34.0,6.15644,11.34343,16.62483,28.16641,34.32285,43.20134,52.64402,,,,,,,,,,,,104.70326,0.28708,0.27250,0.30293,1.73783,1.67117,10.42422,
wb497_10_8_rec_voi_0092.bmp,1.82921,8.182921,82.0,65.19799,31.10429,47.70743,30.23853,226.54322,7.28334,0.37932,0.69496,-2.18554,34.0,48.0,6.09670,13.40193,16.38854,27.99701,34.09371,42.94152,52.29257,,,,,,,,,,,,104.83786,0.31512,0.27460,0.30099,1.73735,1.67352,10.47805,
wb497_10_8_rec_voi_0093.bmp,1.84909,8.184909,87.0,65.19799,31.21038,47.87016,30.23853,227.56830,7.29143,0.35874,0.67584,-2.05074,47.0,40.0,6.21638,12.84687,16.60945,27.77123,33.98761,42.59523,52.12984,,,,,,,,,,,,105.60736,0.33644,0.27429,0.29870,1.74521,1.67155,10.89800,
wb497_10_8_rec_voi_0094.bmp,1.86897,8.186897,86.0,65.19799,31.40779,48.17295,30.23853,226.12062,7.19951,0.36521,0.68191,-2.39955,42.0,44.0,6.53545,15.78682,17.22429,27.25475,33.79020,41.80304,51.82705,,,,,,,,,,,,107.17289,0.35367,0.27780,0.29887,1.73411,1.66884,11.15065,
wb497_10_8_rec_voi_0095.bmp,1.88886,8.188886,81.0,65.19799,31.60160,48.47020,30.23853,226.70180,7.17374,0.39014,0.70480,-2.25969,42.0,39.0,6.32840,14.43383,16.68443,27.26799,33.59639,41.82335,51.52980,,,,,,,,,,,,108.59242,0.36604,0.27879,0.29639,1.73856,1.64891,11.44789,
wb497_10_8_rec_voi_0096.bmp,1.90874,8.190874,74.0,65.19799,31.74654,48.69250,30.23853,228.86691,7.20919,0.42901,0.73907,-2.89256,28.0,46.0,6.98251,20.33903,18.02914,26.46895,33.45146,40.59779,51.30750,,,,,,,,,,,,109.88013,0.38064,0.27742,0.29232,1.75517,1.66886,11.69372,
wb497_10_8_rec_voi_0097.bmp,1.92862,8.192862,67.0,65.19799,31.71397,48.64256,30.23853,226.98181,7.15716,0.47334,0.77632,-2.38553,29.0,38.0,6.42392,15.45891,16.84394,27.06010,33.48402,41.50450,51.35744,,,,,,,,,,,,111.29184,0.39454,0.27944,0.29504,1.74071,1.67966,11.88090,
wb497_10_8_rec_voi_0098.bmp,1.94850,8.19485,64.0,65.19799,31.63842,48.52667,30.23853,230.11494,7.27328,0.49435,0.79336,-3.27628,8.0,56.0,6.74468,22.20718,17.57200,26.81490,33.55958,41.12841,51.47333,,,,,,,,,,,,112.23423,0.40817,0.27498,0.29168,1.76474,1.66872,11.84455,
wb497_10_8_rec_voi_0099.bmp,1.96839,8.196839,70.0,65.19799,31.44723,48.23343,30.23853,232.35393,7.38869,0.44925,0.75631,-3.62911,9.0,61.0,6.76464,24.68793,17.70299,26.98612,33.75077,41.39103,51.76657,,,,,,,,,,,,112.41121,0.41821,0.27068,0.29051,1.78191,1.68396,11.84654,
wb497_10_8_rec_voi_0100.bmp,1.98827,8.198827,70.0,65.19799,31.36787,48.11171,30.23853,231.21273,7.37101,0.44811,0.75535,-3.28434,13.0,57.0,6.24835,20.57865,16.61079,27.58177,33.83013,42.30464,51.88829,,,,,,,,,,,,112.84003,0.42143,0.27133,0.29263,1.77316,1.68273,11.88490,
wb497_10_8_rec_voi_0101.bmp,2.00815,8.200815,77.0,65.19799,31.25362,47.93647,30.23853,232.36193,7.43472,0.40589,0.71889,-3.39928,23.0,54.0,6.53229,22.33164,17.28764,27.41208,33.94437,42.04437,52.06353,,,,,,,,,,,,113.18806,0.42566,0.26901,0.29217,1.78197,1.68539,12.28979,
wb497_10_8_rec_voi_0102.bmp,2.02803,8.202803,75.0,65.19799,31.09188,47.68840,30.23853,236.07624,7.59286,0.41456,0.72652,-4.01246,16.0,59.0,6.56332,25.34465,17.43006,27.54279,34.10611,42.24484,52.31160,,,,,,,,,,,,113.95874,0.42441,0.26341,0.28894,1.81046,1.67454,12.66656,
wb497_10_8_rec_voi_0103.bmp,2.04792,8.204792,77.0,65.19799,30.91567,47.41813,30.23853,233.78066,7.56188,0.40150,0.71499,-2.52566,31.0,46.0,6.88571,17.47861,18.21550,27.39662,34.28233,42.02064,52.58187,,,,,,,,,,,,115.30222,0.42344,0.26448,0.29329,1.79285,1.6867,12.32814,
