Description,Unit,10.0,12.0,14.0,15.5,17.0,19.0,21.0,22.5,23.5,25.5,27.5,29.5,30.0,32.0,34.0,36.0,37.0,39.0,41.0,43.0,45.0,47.0,4.0,49.0,51.0,53.0,55.0,57.0,58.5,60.5,61.0,61.25,62.0,64.0,66.0,68.0,6.0,70.0,71.0,73.0,75.0,77.0,77.5,78.0,79.0,81.0,83.0,85.0,87.0,8.0,89.0,91.0,93.0
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Depth,cm,11-9cm,13-11cm,15-13cm,16.5-14.5cm,18-16cm,20-18cm,22-20cm,23.5-21.5cm,24.5-22.5cm,26.5-24.5cm,28.5-26.5cm,30.5-28.5cm,31-29cm,33-31cm,35-33cm,37-35cm,38-36cm,40-38cm,42-40cm,44-42cm,46-44cm,48-46cm,5-3cm,50-48cm,52-50cm,54-52cm,56-54cm,58-56cm,59.5-57.5cm,61.5-59.5cm,62-60cm,62.5-60.5,63-61cm,65-63cm,67-65cm,69-67cm,7-5cm,71-69cm,72-70cm,74-72cm,76-74cm,78-76cm,78.5-76.5cm,79-77cm,80-78cm,82-80cm,84-82cm,86-84cm,88-86cm,9-7cm,90-88cm,92-90cm,94-92cm
Average Depth,cm,10.0,12.0,14.0,15.5,17.0,19.0,21.0,22.5,23.5,25.5,27.5,29.5,30.0,32.0,34.0,36.0,37.0,39.0,41.0,43.0,45.0,47.0,4.0,49.0,51.0,53.0,55.0,57.0,58.5,60.5,61.0,61.25,62.0,64.0,66.0,68.0,6.0,70.0,71.0,73.0,75.0,77.0,77.5,78.0,79.0,81.0,83.0,85.0,87.0,8.0,89.0,91.0,93.0
Number of layers,,961,1011,961,981,1031,911,1021,871,961,1031,871,971,1021,1001,851,1021,821,931,1041,981,871,1021,941,971,1031,981,971,1051,900,971,941,771,1036,671,1051,931,991,872,1031,921,901,1051,901,871,841,1036,871,901,1021,841,951,1041,901
Lower vertical position,mm,2.05914,1.02957,0.82366,1.85322,0.82366,3.29462,1.02957,1.02957,2.26505,1.02957,1.23548,2.05914,1.23548,1.44140,1.23548,0.82366,1.02957,3.08871,0.82366,0.82366,4.11828,1.23548,2.05914,2.26505,0.82366,0.82366,2.05914,0.82366,0.84425,2.26505,3.29462,1.02957,0.82366,1.02957,0.82366,0.61774,1.44140,4.30360,1.23548,0.82366,3.70645,0.82366,3.50054,1.23548,0.82366,0.82366,1.23548,3.70645,1.23548,1.23548,2.47097,0.82366,0.82366
Upper vertical position,mm,21.82687,21.82687,20.59138,22.03278,22.03278,22.03278,22.03278,18.94407,22.03278,22.23870,19.14999,22.03278,22.23870,22.03278,18.73816,21.82687,17.91450,22.23870,22.23870,21.00321,22.03278,22.23870,21.41504,22.23870,22.03278,21.00321,22.03278,22.44461,19.35590,22.23870,22.65052,16.88494,22.13574,14.82580,22.44461,19.76773,21.82687,22.23870,22.44461,19.76773,22.23870,22.44461,22.03278,19.14999,18.12042,22.13574,19.14999,22.23870,22.23870,18.53225,22.03278,22.23870,19.35590
Pixel size,um,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138,20.59138
Lower grey threshold,,70,70,70,70,70,80,75,80,80,85,90,80,80,85,80,80,80,80,80,80,80,80,72,85,85,80,80,80,80,80,80,80,80,85,85,80,70,80,85,85,80,85,85,85,85,80,85,85,85,70,85,85,85
Upper grey threshold,,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
